"","Order","ID","FID_1","FirstID","SecondID","ThirdID","FourthID","FifthID","SixithID","SeventhID","CU_n","East","North","Unit","Site","Subsite","Area_m2","Area_ha","Time","PreXM_taq","NewPoly","Pct_XM_Ceramics","CerAbund","Wrong.a","Notes.a","Func1","Func1_d","Func2","Func2_d","Arch1","Arch1_d","Arch2","Arch2_d","H2020_1","H2020_2","H2020_3","H2020_Wkshp","Ang_Func","Ang_Func_d","Ang_Pop_calc","Ang_Area_m2","Ang_HH1","Ang_perHHArea","Ang_Incl","AnnieNew","Small","SmallGroup","Flag_AptCompClass","ReclassAng","ReclassAng_notes","ReclassH2020","ReclassH2020_notes","ClassBy","XM_c","XM_f","XM_d","XM_group_c","XM_group_f","XM_group_d","XM_macro_c","XM_macro_f","XM_macro_d","XM_DwellingUnits","XM_Pop","Unoccu","Flag","Flag_notes","Flag_code","AnnieRev","AnnieRev_Notes","Ring","StatusDiff","Workshop","Include","DELETE","DELETE_notes","OffMap","NoColUnit","Notes","XM_PersonsPerDwellingUnit"
"1280",1265,4218,4218,4109,NA,NA,NA,NA,NA,NA,1,514329.6536,2174765.712,"S4W3","6","NONE",27.769,0.0027769,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1281",1266,4219,4219,4109,NA,NA,NA,NA,NA,NA,1,514328.214,2174710.582,"S4W3","6","NONE",25.257,0.0025257,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1282",1267,4220,4220,4109,NA,NA,NA,NA,NA,NA,1,514357.531,2174678.672,"S4W3","6","NONE",25.731,0.0025731,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1283",1268,4221,4221,4109,NA,NA,NA,NA,NA,NA,1,514375.4617,2174706.933,"S4W3","6","NONE",24.171,0.0024171,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1284",1269,4222,4222,4109,NA,NA,NA,NA,NA,NA,1,514401.6042,2174688.932,"S4W3","6","NONE",24.911,0.0024911,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",NA,NA,NA,NA,NA,NA,0,1,1,"CH1",0,NA,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1285",1270,4223,4223,4109,NA,NA,NA,NA,NA,NA,1,514429.692,2174714.179,"S4W3","6","NONE",27.861,0.0027861,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1286",1271,4224,4224,4109,NA,NA,NA,NA,NA,NA,1,514375.694,2174654.536,"S4W3","6","NONE",26.161,0.0026161,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1287",1272,4225,4225,4109,NA,NA,NA,NA,NA,NA,1,514386.6138,2174624.699,"S4W3","6","NONE",26.58,0.002658,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1288",1273,4226,4226,4109,NA,NA,NA,NA,NA,NA,1,514345.4784,2174607.457,"S4W3","6","NONE",22.165,0.0022165,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1289",1274,4227,4227,4109,NA,NA,NA,NA,NA,NA,1,514306.2773,2174603.165,"S4W3","6","NONE",26.042,0.0026042,"",0,0,0.020172911,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1290",1275,4228,4228,4193,NA,NA,NA,NA,NA,NA,1,514614.845,2174841.129,"S4W2","9","NONE",21.423,0.0021423,"",0,0,0,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,1,"","AnnieRev",1,"New Small Str. But Funcinterp1 says IM Status",7,0,0,1,0,NA,0,0,"",5.5
"1291",1277,4230,4230,4211,NA,NA,NA,NA,NA,NA,1,514854.068,2174852.462,"S4W2","L 3","NONE",24.603,0.0024603,"",0,0,0,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1292",1278,4231,4231,4211,NA,NA,NA,NA,NA,NA,1,514801.3891,2174818.408,"S4W2","L 3","NONE",27.257,0.0027257,"",0,0,0,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1293",1279,4232,4232,4212,NA,NA,NA,NA,NA,NA,1,514582.8169,2174657.326,"S4W2","L 4","NONE",34.1,0.00341,"",0,0,0,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1294",1280,4233,4233,4207,NA,NA,NA,NA,NA,NA,1,514744.0461,2174543.833,"S4W2","23","NONE",29.991,0.0029991,"",0,0,0.041666667,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1295",1281,4234,4234,4205,NA,NA,NA,NA,NA,NA,1,514878.9503,2174629.267,"S4W2","21","NONE",49.952,0.0049952,"",0,0,0.015384615,3,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1296",1282,4235,4235,4354,NA,NA,NA,NA,NA,NA,1,514925.4708,2174455.988,"S4W1","L 3","NONE",20.316,0.0020316,"",0,0,0.028985507,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1297",1283,4236,4236,4334,NA,NA,NA,NA,NA,NA,1,514991.9642,2174490.692,"S4W1","18","NONE",19.751,0.0019751,"",0,0,0.117948718,3,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1298",1284,4237,4237,4334,NA,NA,NA,NA,NA,NA,1,515003.827,2174457.653,"S4W1","18","NONE",17.01,0.001701,"",0,0,0.117948718,3,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1299",1285,4238,4238,4356,NA,NA,NA,NA,NA,NA,1,514966.5487,2174570.015,"S4W1","L 5","NONE",18.766,0.0018766,"",0,0,0.052631579,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1300",1286,4239,4239,4550,NA,NA,NA,NA,NA,NA,1,515414.635,2174367.182,"S4E1","30","NONE",31.587,0.0031587,"",0,0,0.019047619,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1301",1287,4240,4240,4550,NA,NA,NA,NA,NA,NA,1,515410.1731,2174383.25,"S4E1","30","NONE",30.942,0.0030942,"",0,0,0.019047619,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1302",1288,4241,4241,4544,NA,NA,NA,NA,NA,NA,1,515489.5328,2174432.301,"S4E1","23","NONE",24.508,0.0024508,"",0,0,0,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1303",1289,4242,4242,4543,NA,NA,NA,NA,NA,NA,1,515522.2946,2174411.212,"S4E1","22","NONE",31.091,0.0031091,"",0,0,0.089552239,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1304",1290,4243,4243,4540,NA,NA,NA,NA,NA,NA,1,515593.0321,2174525.099,"S4E1","19","NONE",35.17,0.003517,"",0,0,0.036144578,2,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1305",1291,4244,4244,4540,NA,NA,NA,NA,NA,NA,1,515577.5399,2174544.163,"S4E1","19","NONE",39.559,0.0039559,"",0,0,0.036144578,2,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1306",1292,4245,4245,4525,NA,NA,NA,NA,NA,NA,1,515620.0527,2174642.149,"S4E1","3","NONE",32.773,0.0032773,"",0,0,0.09375,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1307",1293,4246,4246,4523,4524,NA,NA,NA,NA,NA,2,515744.1718,2174630.11,"S4E1","2","AB",23.687,0.0023687,"",0,0,0,2,"","",1,"low status residential, no obvious occupational specialization",42,"residential workshop",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",NA,NA,NA,NA,NA,NA,0,1,1,"CH1",0,NA,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,1,1,0,NA,0,0,"",5.5
"1308",1294,4247,4247,4538,NA,NA,NA,NA,NA,NA,1,515766.3442,2174509.036,"S4E1","17","NONE",30.535,0.0030535,"",0,0,0.029268293,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1309",1295,4248,4248,4538,NA,NA,NA,NA,NA,NA,1,515783.8699,2174488.581,"S4E1","17","NONE",37.665,0.0037665,"",0,0,0.029268293,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1310",1296,4249,4249,4538,NA,NA,NA,NA,NA,NA,1,515771.2386,2174467.424,"S4E1","17","NONE",34.717,0.0034717,"",0,0,0.029268293,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1311",1297,4250,4250,4539,NA,NA,NA,NA,NA,NA,1,515767.3249,2174426.429,"S4E1","18","NONE",39.311,0.0039311,"",0,0,0,-1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1312",1298,4251,4251,4551,NA,NA,NA,NA,NA,NA,1,515696.4966,2174201.199,"S4E1","31","NONE",27.999,0.0027999,"",0,0,0.102040816,1,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",8,0,0,1,0,NA,0,0,"",5.5
"1313",1299,4253,4253,4704,NA,NA,NA,NA,NA,NA,1,515956.3222,2174297.216,"S4E2","1","NONE",39.29,0.003929,"",0,0,0,5,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1314",1300,4254,4254,4713,NA,NA,NA,NA,NA,NA,1,515826.3752,2174396.328,"S4E2","10","NONE",53.221,0.0053221,"",0,0,0.025316456,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1315",1301,4255,4255,4713,NA,NA,NA,NA,NA,NA,1,515862.9219,2174408.725,"S4E2","10","NONE",53.004,0.0053004,"",0,0,0.025316456,4,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1316",1302,4256,4256,4714,NA,NA,NA,NA,NA,NA,1,515847.6021,2174463.933,"S4E2","11","NONE",56.817,0.0056817,"",0,0,0.04109589,2,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1317",1303,4258,4258,4711,NA,NA,NA,NA,NA,NA,1,516112.2338,2174495.537,"S4E2","8","NONE",49.727,0.0049727,"",0,0,0.022222222,3,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1318",1304,4259,4259,4705,NA,NA,NA,NA,NA,NA,1,516225.2279,2174450.697,"S4E2","2","NONE",38.342,0.0038342,"",0,0,0.057142857,3,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1319",1305,4260,4260,4705,NA,NA,NA,NA,NA,NA,1,516268.5343,2174469.202,"S4E2","2","NONE",36.236,0.0036236,"",0,0,0.057142857,3,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1320",1306,4262,4262,4753,NA,NA,NA,NA,NA,NA,1,516326.5462,2174463.812,"S4E3","4","NONE",28.324,0.0028324,"",0,0,0,5,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1321",1307,4263,4263,4753,NA,NA,NA,NA,NA,NA,1,516354.4394,2174477.52,"S4E3","4","NONE",26.496,0.0026496,"",0,0,0,5,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",5.5
"1322",1308,4279,4279,4031,NA,NA,NA,NA,NA,NA,1,513582.3101,2174647.335,"S5W4","3","NONE",26.58,0.002658,"",0,0,0.25,6,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",9,0,0,1,0,NA,0,0,"",5.5
"1323",1309,4280,4280,4031,NA,NA,NA,NA,NA,NA,1,513559.5423,2174603.643,"S5W4","3","NONE",27.202,0.0027202,"",0,0,0.25,6,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",9,0,0,1,0,NA,0,0,"",5.5
"1324",1310,4281,4281,4036,NA,NA,NA,NA,NA,NA,1,513501.4315,2174574.553,"S5W4","8","NONE",33.262,0.0033262,"",0,0,0.029411765,2,"","",1,"low status residential, no obvious occupational specialization",77,"no plausible alternative to the pirmary interpretation",3,"casa humilde",77,"no plausible alternative to the primary interpretation","Architecture","House","Low Status Residential","",1,"low status residential",5.5,NA,1,NA,1,0,1,"CH1",0,0,"",NA,"","H2020",1,"Low","low status residence",1,"Low","Low Status Residence",1,"DStr","Domestic Structure",1,5.5,NA,0,"","",NA,"",9,0,0,1,0,NA,0,0,"",5.5
